name,Per capita Income,"Food, beverages & tobacco",Clothing & footwear,Housing,House furnishing,Medical & health,Transport & communication,Recreation,Education,Other
Democratic Republic of the Congo,0.005,0.854,0.97,1.088,1.061,1.573,1.381,3.876,0.939,2.161
Burundi,0.009,0.839,0.969,1.084,1.059,1.573,1.306,1.868,0.937,1.64
Liberia,0.01,0.836,0.969,1.083,1.059,8.62,1.295,2.525,0.936,1.415
Zimbabwe,0.012,0.831,0.969,1.082,1.058,4.286,1.281,2.05,0.936,4.696
Ethiopia,0.014,0.827,0.968,1.081,1.058,3.275,1.27,5.406,0.935,3.464
Niger,0.014,0.827,0.968,1.081,1.058,3.219,1.269,1.485,0.935,3.399
Guinea-Bissau,0.014,0.827,0.968,1.081,1.058,3.174,1.269,1.659,0.935,3.346
Mozambique,0.017,0.822,0.968,1.08,1.057,2.665,1.259,2.163,0.934,2.764
Malawi,0.018,0.819,0.968,1.079,1.057,2.424,1.252,1.325,0.934,2.496
Rwanda,0.019,0.818,0.968,1.079,1.057,2.355,1.25,3.074,0.934,2.419
Angola,0.021,0.814,0.968,1.078,1.056,2.182,1.244,13.053,0.933,2.231
Chad,0.021,0.814,0.968,1.078,1.056,2.16,1.243,11.097,0.933,2.208
Gambia,0.022,0.813,0.968,1.078,1.056,2.134,1.241,9.38,0.933,2.179
Central African Republic,0.022,0.813,0.968,1.078,1.056,2.12,1.241,8.708,0.933,2.164
Mali,0.022,0.813,0.968,1.078,1.056,2.118,1.241,8.614,0.933,2.162
Tanzania,0.023,0.812,0.968,1.078,1.056,2.092,1.239,7.524,0.933,2.133
Sierra Leone,0.024,0.81,0.968,1.077,1.056,2.031,1.236,5.837,0.933,2.069
Guinea,0.024,0.81,0.968,1.077,1.056,2.021,1.236,5.624,0.933,2.058
Burkina Faso,0.025,0.808,0.968,1.077,1.056,1.987,1.234,4.987,0.933,2.021
Uganda,0.027,0.806,0.968,1.077,1.056,1.917,1.23,4.052,0.932,1.946
Madagascar,0.027,0.805,0.968,1.077,1.056,1.913,1.23,4.012,0.932,1.942
Zambia,0.027,0.805,0.968,1.077,1.056,1.909,1.229,3.961,0.932,1.937
Republic of the Congo,0.028,0.804,0.968,1.076,1.055,1.886,1.228,3.733,0.932,1.913
Togo,0.029,0.803,0.968,1.076,1.055,1.87,1.227,3.59,0.932,1.897
Nepal,0.031,0.801,0.968,1.076,1.055,1.82,1.223,3.189,0.932,1.843
Ghana,0.032,0.799,0.968,1.076,1.055,1.795,1.221,3.022,0.931,1.817
Benin,0.034,0.797,0.968,1.075,1.055,1.761,1.219,2.813,0.931,1.781
Mauritania,0.034,0.796,0.968,1.075,1.055,1.756,1.218,2.787,0.931,1.776
Bangladesh,0.035,0.795,0.968,1.075,1.055,1.74,1.217,2.696,0.931,1.758
cote d'ivoire,0.035,0.795,0.968,1.075,1.055,1.735,1.216,2.672,0.931,1.753
laos,0.035,0.795,0.968,1.075,1.055,1.733,1.216,2.665,0.931,1.752
Kenya,0.038,0.791,0.967,1.075,1.055,1.691,1.212,2.463,0.931,1.708
Djibouti,0.039,0.791,0.967,1.075,1.055,1.689,1.212,2.451,0.931,1.705
Nigeria,0.039,0.79,0.967,1.075,1.054,1.68,1.211,2.413,0.93,1.696
Senegal,0.04,0.79,0.967,1.075,1.054,1.678,1.211,2.405,0.93,1.694
Cambodia,0.042,0.787,0.967,1.074,1.054,1.65,1.208,2.288,0.93,1.664
Cameroon,0.045,0.785,0.967,1.074,1.054,1.628,1.206,2.206,0.93,1.642
Sao Tome and Principe,0.045,0.784,0.967,1.074,1.054,1.621,1.205,2.179,0.93,1.634
India,0.047,0.782,0.967,1.074,1.054,1.608,1.204,2.133,0.93,1.621
Yemen,0.048,0.781,0.967,1.073,1.054,1.603,1.203,2.116,0.93,1.615
Vietnam,0.048,0.781,0.967,1.073,1.054,1.602,1.203,2.114,0.93,1.615
Mongolia,0.048,0.781,0.967,1.073,1.054,1.597,1.203,2.097,0.929,1.61
Iraq,0.05,0.779,0.967,1.073,1.054,1.584,1.201,2.052,0.929,1.595
Bhutan,0.052,0.777,0.967,1.073,1.054,1.572,1.2,2.016,0.929,1.584
China,0.054,0.775,0.967,1.073,1.054,1.562,1.198,1.983,0.929,1.573
Sudan,0.058,0.771,0.967,1.072,1.053,1.538,1.195,1.912,0.929,1.548
Lesotho,0.061,0.769,0.967,1.072,1.053,1.525,1.194,1.876,0.928,1.535
Tajikistan,0.061,0.769,0.967,1.072,1.053,1.524,1.193,1.873,0.928,1.533
Maldives,0.068,0.763,0.967,1.072,1.053,1.497,1.19,1.8,0.928,1.505
Morocco,0.069,0.762,0.967,1.072,1.053,1.492,1.189,1.789,0.928,1.501
Pakistan,0.071,0.76,0.967,1.071,1.053,1.485,1.188,1.77,0.927,1.493
Indonesia,0.075,0.757,0.967,1.071,1.053,1.474,1.186,1.742,0.927,1.481
Kyrgyzstan,0.075,0.757,0.967,1.071,1.053,1.473,1.186,1.741,0.927,1.481
